Tópico;ID;Classe;Descrição;Possíveis Causas;Sugestão de Correção
6.1.1 ANS;1;Fault;ANS: HOST Error;Falha reportada pelo host associado ao módulo ANS, causada por serviço indisponível, processamento interrompido, configuração inválida, alimentação ausente ou perda de comunicação entre o host e o controlador do veículo.;Verificar se o host está energizado e operacional, conferir os serviços, a rede, cabos, conectores e parâmetros de comunicação. Reiniciar os equipamentos de forma controlada e analisar os registros. Consultar o projeto elétrico para confirmar a identificação e os pontos de conexão do módulo ANS.
6.1.1 ANS;2;Fault;ANS: VEHICLE Error;Falha reportada pelo veículo ao módulo ANS, possivelmente originada por permissivos não atendidos, subsistema de movimento ou segurança indisponível, estado inválido do controlador ou comunicação inconsistente.;Verificar os alarmes ativos do veículo, condições de segurança, permissivos e estado dos subsistemas. Confirmar alimentação e comunicação com o controlador, eliminar a falha de origem e executar o rearme. Consultar o projeto elétrico para confirmar os sinais associados ao módulo ANS.
6.1.1 ANS;3;Fault;ANS: Bad quality;Qualidade inválida ou desatualizada dos dados trocados com o módulo ANS, causada por perda intermitente de comunicação, timeout, mapeamento incorreto, dispositivo remoto indisponível ou atualização de dados interrompida.;Verificar estabilidade da rede, alimentação dos equipamentos, cabos, conectores e estado do dispositivo remoto. Confirmar o mapeamento e a atualização das variáveis, reiniciar a comunicação e monitorar a qualidade do sinal. Consultar o projeto elétrico para confirmar o caminho de comunicação.
6.1.1 ANS;4;Fault;ANS: Communication lost;Perda de comunicação com o módulo ANS por equipamento desligado, falha de rede, cabo ou conector danificado, switch ou enlace sem operação, endereço ou configuração incorreta, ou serviço remoto indisponível.;Verificar alimentação e estado dos equipamentos envolvidos, indicadores de rede, cabos, conectores e configuração de comunicação. Restabelecer o enlace, reiniciar os dispositivos de forma controlada e confirmar a troca de dados. Consultar o projeto elétrico para identificar os pontos do circuito.
6.1.2 Bateria;31;Fault;Battery: Battery Critical;Estado crítico da bateria por carga insuficiente, queda acentuada de tensão, desequilíbrio ou falha de células, temperatura inadequada, consumo elevado, conexão de potência deficiente ou proteção ativa do BMS.;Parar o veículo em local seguro e evitar novos movimentos. Verificar o estado da bateria, eventos e proteções do BMS, temperatura, cabos e conectores de potência. Recarregar com o sistema aprovado e, se a condição persistir, retirar a bateria de operação para avaliação técnica.
6.1.2 Bateria;32;Fault;Battery: Charge Error;Falha no carregamento por carregador indisponível, conexão incorreta, dispositivo de proteção aberto, intertravamento não atendido, cabo ou conector danificado, comunicação ausente ou bloqueio de carga pelo BMS.;Colocar o veículo em condição segura e verificar o carregador, conexão, dispositivos de proteção, intertravamentos e cabos. Consultar os eventos do BMS e confirmar se a bateria aceita carga. Corrigir a causa, reiniciar a sequência de carga e acompanhar o processo até a normalização.
6.1.2 Bateria;33;Warnings;Battery: Low Battery;Nível de carga reduzido devido a consumo acumulado, ciclo de recarga incompleto, tempo prolongado de operação, estimativa incorreta do BMS ou perda de capacidade da bateria.;Encaminhar o veículo para recarga segura e evitar ciclos adicionais que possam interromper a operação. Verificar o estado de carga e os eventos do BMS, confirmar a conclusão do carregamento e inspecionar conexões. Se o aviso ocorrer com frequência, avaliar a capacidade da bateria.
6.1.3 Disjuntores;61;Fault;Breaker Disarmed: Feedback Automatic Charger - FC1;O dispositivo de proteção do circuito do carregador automático está desarmado ou não apresentou retorno correto. As causas incluem sobrecorrente, curto-circuito, carga defeituosa, cabo ou conector danificado, alimentação anormal, contato auxiliar ou circuito de feedback com falha.;"Desenergizar e inspecionar o circuito do carregador automático, procurando curto, aquecimento, dano em cabos, conectores e carga alimentada. Verificar o contato de retorno e a continuidade do circuito. Eliminar a causa antes de rearmar; se desarmar novamente, manter o circuito isolado e avaliar o componente."
6.1.3 Disjuntores;62;Fault;Breaker Disarmed: Feedback Manual Charger - FC2;O dispositivo de proteção do circuito do carregador manual está desarmado ou não apresentou retorno correto. As causas incluem sobrecorrente, curto-circuito, carga defeituosa, cabo ou conector danificado, alimentação anormal, contato auxiliar ou circuito de feedback com falha.;"Desenergizar e inspecionar o circuito do carregador manual, procurando curto, aquecimento, dano em cabos, conectores e carga alimentada. Verificar o contato de retorno e a continuidade do circuito. Eliminar a causa antes de rearmar; se desarmar novamente, manter o circuito isolado e avaliar o componente."
6.1.3 Disjuntores;63;Fault;Breaker Disarmed: Eletronic Breaker - FC5;O dispositivo de proteção do disjuntor eletrônico de distribuição está desarmado ou não apresentou retorno correto. As causas incluem sobrecorrente, curto-circuito, carga defeituosa, cabo ou conector danificado, alimentação anormal, contato auxiliar ou circuito de feedback com falha.;"Desenergizar e inspecionar o disjuntor eletrônico de distribuição, procurando curto, aquecimento, dano em cabos, conectores e carga alimentada. Verificar o contato de retorno e a continuidade do circuito. Eliminar a causa antes de rearmar; se desarmar novamente, manter o circuito isolado e avaliar o componente."
